"Opponent","QB.1.Key","QB.1.ovr","WR.1.Key","WR.1.ovr","WR.2.Key","WR.2.ovr","WR.3.Key","WR.3.ovr","RB.1.Key","RB.1.ovr","RB.2.Key","RB.2.ovr","OL.1.Key","OL.1.ovr","OL.2.Key","OL.2.ovr","OL.3.Key","OL.3.ovr","OL.4.Key","OL.4.ovr","OL.5.Key","OL.5.ovr","TE.1.Key","TE.1.ovr","DL.1.Key","DL.1.ovr","DL.2.Key","DL.2.ovr","DL.3.Key","DL.3.ovr","DL.4.Key","DL.4.ovr","LB.1.Key","LB.1.ovr","LB.2.Key","LB.2.ovr","LB.3.Key","LB.3.ovr","CB.1.Key","CB.1.ovr","CB.2.Key","CB.2.ovr","CB.3.Key","CB.3.ovr","FS.1.Key","FS.1.ovr","SS.1.Key","SS.1.ovr","K.1.Key","K.1.ovr","defense","secondary","v.D","v.QB","v.RB","v.TE","v.K"
"ARI","QBcarsonpalmer",88,"WRlarryfitzgerald",92,"WRjohnbrown",86,"WRmichaelfloyd",85,"RBdavidjohnson",86,"RBandreellington",78,"OLjaredveldheer",84,"OLearlwatford",74,"OLdjhumphries",73,"OLaqshipley",71,"OLevanboehm",67,"TEjermainegresham",83,"DLcalaiscampbell",87,"DLfrosteerucker",76,"DLrobertnkemdiche",75,"DLcoreypeters",75,"LBchandlerjones",82,"LBdeonebucannon",80,"LBkevinminter",75,"CBpatrickpeterson",92,"CBmarcuscooper",73,"CBjustinbethel",73,"FStyrannmathieu",96,"SStonyjefferson",85,"Kchandlercatanzaro",80,81.4545454545455,83.8,81.8888888888889,86.5,78.5714285714286,79,81.4545454545455
"ATL","QBmattryan",85,"WRjuliojones",97,"WRaldrickrobinson",69,"WRnickwilliams",69,"RBpatrickdimarco",89,"RBdevontafreeman",86,"OLalexmack",85,"OLryanschraeder",85,"OLjakematthews",80,"OLandylevitre",80,"OLchrischester",78,"TEjacobtamme",79,"DLjonathanbabineaux",80,"DLadrianclayborn",77,"DLbrooksreed",76,"DLgradyjarrett",75,"LBvicbeasleyjr",76,"LBobrienschofield",75,"LBphilipwheeler",72,"CBdesmondtrufant",93,"CBrobertalford",77,"CBjalencollins",71,"FSricardoallen",76,"SSkeanuneal",77,"Kmattbryant",81,77.6363636363636,78.8,83.2222222222222,80.75,75.8571428571429,74.3333333333333,77.6363636363636
"BAL","QBjoeflacco",82,"WRstevesmithsr",87,"WRmikewallace",78,"WRkamaraiken",78,"RBkylejuszczyk",83,"RBjustinforsett",82,"OLmarshalyanda",97,"OLjeremyzuttah",81,"OLrickwagner",77,"OLjohnurschel",70,"OLryanjensen",69,"TEdennispitta",81,"DLbrandonwilliams",84,"DLtimmyjernigan",77,"DLlawrenceguy",71,"DLbronsonkaufusi",69,"LBterrellsuggs",90,"LBelvisdumervil",87,"LBcjmosley",84,"CBjimmysmith",82,"CBshareecewright",74,"CBkylearrington",74,"FSlardariuswebb",81,"SSericweddle",92,"Kjustintucker",83,81,80.6,81.7777777777778,82.25,80.2857142857143,87,81
"BUF","QBtyrodtaylor",81,"WRsammywatkins",88,"WRrobertwoods",73,"WRbrandontate",70,"RBreggiebush",74,"RBmikegillislee",70,"OLrichieincognito",90,"OLericwood",82,"OLjordanmills",74,"OLjohnmiller",71,"OLseantrelhenderson",71,"TEchrisgragg",71,"DLmarcelldareus",88,"DLkylewilliams",78,"DLcorbinbryant",71,"DLadolphuswashington",71,"LBjerryhughes",85,"LBprestonbrown",77,"LBzachbrown",75,"CBronalddarby",82,"CBnickellrobeycoleman",74,"CBmarcusroberson",70,"FSaaronwilliams",78,"SScoreygraham",81,"Kdancarpenter",79,78.1818181818182,77,78.2222222222222,78.75,77.8571428571429,79,78.1818181818182
"CAR","QBderekanderson",70,"WRkelvinbenjamin",85,"WRphillybrown",77,"WRbrentonbersin",69,"RBcameronartispayne",71,"RBfozzywhittaker",69,"OLtraiturner",86,"OLandrewnorwell",83,"OLginogradkowski",70,"OLchrisscott",70,"OLdarylwilliams",70,"TEgregolsen",93,"DLkawannshort",92,"DLkonyealy",79,"DLpaulsoliai",79,"DLmarioaddison",76,"LBlukekuechly",99,"LBthomasdavissr",89,"LBshaqthompson",75,"CBbenebenwikere",80,"CBdarylworley",71,"CBrobertmcclain",71,"FStreboston",79,"SSkurtcoleman",85,"Kgrahamgano",85,82.1818181818182,77.2,78.3333333333333,78.75,84.1428571428571,87.6666666666667,82.1818181818182
"CHI","QBbrianhoyer",73,"WRmarquesswilson",73,"WRjoshuabellamy",68,"WRdanielbraverman",65,"RBraheemmostert",67,"RBpaullasike",66,"OLkylelong",82,"OLbobbymassie",75,"OLmikeadams",73,"OLcharleslenojr",69,"OLcodywhitehair",69,"TEloganpaulsen",70,"DLeddiegoldman",77,"DLakiemhicks",77,"DLwillsutton",69,"DLmitchunrein",69,"LBpernellmcphee",92,"LBjerrellfreeman",86,"LBlamarrhouston",81,"CBkylefuller",80,"CBtracyporter",73,"CBbrycecallahan",70,"FSadrianamos",77,"SSharoldjonesquartey",71,"Kconnorbarth",79,77.4545454545455,74.2,72.2222222222222,75.25,78.7142857142857,86.3333333333333,77.4545454545455
"CIN","QBandydalton",87,"WRajgreen",94,"WRbrandonlafell",77,"WRtylerboyd",70,"RBgiovanibernard",86,"RBryanhewitt",76,"OLandrewwhitworth",93,"OLkevinzeitler",89,"OLcedricogbuehi",76,"OLericwinston",76,"OLrussellbodine",69,"TEtylerkroft",71,"DLgenoatkins",94,"DLcarlosdunlap",88,"DLmichaeljohnson",79,"DLdomatapeko",74,"LBvontazeburfict",88,"LBreymaualuga",84,"LBkarlosdansby",83,"CBadamjones",88,"CBdrekirkpatrick",76,"CBdarquezedennard",75,"FSgeorgeiloka",84,"SSclaytonfejedelem",65,"Kmikenugent",80,82.0909090909091,77.6,83.2222222222222,78.25,84.2857142857143,85,82.0909090909091
"CLE","QBrobertgriffiniii",75,"WRjoshgordon",78,"WRterrellepryor",74,"WRandrewhawkins",72,"RBdukejohnsonjr",79,"RBisaiahcrowell",77,"OLjoethomas",96,"OLjoelbitonio",84,"OLjohngreco",77,"OLaustinpasztor",71,"OLalvinbailey",71,"TEgarybarnidge",83,"DLdesmondbryant",77,"DLdannyshelton",73,"DLjamiemeder",70,"DLarmontybryant",70,"LBdemariodavis",76,"LBchristiankirksey",75,"LBemmanuelogbah",73,"CBjoehaden",86,"CBtramonwilliamssr",80,"CBmarcusburley",71,"FSjordanpoyer",72,"SSderrickkindred",65,"Kpatrickmurray",72,74.2727272727273,74.8,79.6666666666667,75.75,73.4285714285714,74.6666666666667,74.2727272727273
"DAL","QBdakprescott",75,"WRterrancewilliams",79,"WRcolebeasley",78,"WRluckywhitehead",71,"RBezekielelliott",80,"RBdarrenmcfadden",79,"OLzackmartin",92,"OLtravisfrederick",90,"OLdougfree",79,"OLlaelcollins",77,"OLronaldleary",75,"TEjasonwitten",86,"DLdemarcuslawrence",81,"DLtyronecrawford",78,"DLterrellmcclain",76,"DLcedricthornton",76,"LBseanlee",89,"LBjustindurant",77,"LBjaylonsmith",76,"CBbrandoncarr",78,"CBmorrisclaiborne",74,"CBanthonybrown",68,"FSbyronjones",82,"SSbarrychurch",82,"Pchrisjones",58.1,79,76.8,81.7777777777778,79,79,80.6666666666667,79
"DEN","QBpaxtonlynch",73,"WRemmanuelsanders",88,"WRbenniefowleriii",71,"WRjordannorwood",70,"RBcjanderson",85,"RBandyjanovich",72,"OLrussellokung",81,"OLmattparadis",75,"OLmaxgarcia",71,"OLtysambrailo",71,"OLmichaelschofield",69,"TEjohnphillips",70,"DLderekwolfe",85,"DLvancewalker",74,"DLsylvesterwilliams",74,"DLjaredcrick",71,"LBvonmiller",99,"LBbrandonmarshall",90,"LBdemarcusware",86,"CBchrisharrisjr",93,"CBaqibtalib",90,"CBbradleyroby",82,"FSdarianstewart",86,"SStjward",85,"Kbrandonmcmanus",82,84.8181818181818,87.2,76.1111111111111,88.5,82.7142857142857,91.6666666666667,84.8181818181818
